nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
Can you give me a visual representation of the membership distribution by address? ,abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x ,Address,none,count Address,bar,"x=Address,y=count Address,color=none,size=none",none
"Show me a chart of where our members are based, in descending order. ",abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x sort y desc,Address,none,count Address,bar,"x=Address,y=count Address,color=none,size=none",y desc
"Can you create a graph displaying the number of members by location, with the most popular areas on the left?",abstract,Bar,member,coffee_shop,mark bar data member encoding x address y aggregate count address transform group x sort y desc,Address,none,count Address,bar,"x=Address,y=count Address,color=none,size=none",y desc
Can you show me where most members live?,abstract,Pie,member,coffee_shop,mark arc data member encoding x address y aggregate count address transform group x,Address,none,count Address,arc,"x=Address,y=count Address,color=none,size=none",none
"I'm curious about member addresses, can you give me a visual representation?",abstract,Pie,member,coffee_shop,mark arc data member encoding x address y aggregate count address transform group x,Address,none,count Address,arc,"x=Address,y=count Address,color=none,size=none",none
What's the breakdown of member addresses?,abstract,Pie,member,coffee_shop,mark arc data member encoding x address y aggregate count address transform group x,Address,none,count Address,arc,"x=Address,y=count Address,color=none,size=none",none
Can you show me a chart of member locations?,abstract,Pie,member,coffee_shop,mark arc data member encoding x address y aggregate count address transform group x,Address,none,count Address,arc,"x=Address,y=count Address,color=none,size=none",none
I'm interested in seeing the distribution of members across different addresses.,abstract,Pie,member,coffee_shop,mark arc data member encoding x address y aggregate count address transform group x,Address,none,count Address,arc,"x=Address,y=count Address,color=none,size=none",none
Can you show me a graph of the number of departments in each building?,abstract,Bar,department,college_2,mark bar data department encoding x building y aggregate count building transform group x,building,none,count building,bar,"x=building,y=count building,color=none,size=none",none
"I'm curious, what does the distribution of departments look like across different buildings?",abstract,Bar,department,college_2,mark bar data department encoding x building y aggregate count building transform group x,building,none,count building,bar,"x=building,y=count building,color=none,size=none",none
Can you give me a visual representation of how many departments are in each building?,abstract,Bar,department,college_2,mark bar data department encoding x building y aggregate count building transform group x,building,none,count building,bar,"x=building,y=count building,color=none,size=none",none
I'd like to see a breakdown of the number of departments in different buildings.,abstract,Bar,department,college_2,mark bar data department encoding x building y aggregate count building transform group x,building,none,count building,bar,"x=building,y=count building,color=none,size=none",none
Can you show me a chart that illustrates the number of departments in different buildings?,abstract,Bar,department,college_2,mark bar data department encoding x building y aggregate count building transform group x,building,none,count building,bar,"x=building,y=count building,color=none,size=none",none
"I'm curious about the breakdown of school locations, can you display that for me?",abstract,Pie,department,college_1,mark arc data department encoding x school_code y aggregate count distinct dept_address,"SCHOOL_CODE,distinct",none,count distinct DEPT_ADDRESS,arc,"x=SCHOOL_CODE,y=count distinct DEPT_ADDRESS,color=none,size=none",none
Could you give me a visual representation of how many different addresses each school has?,abstract,Pie,department,college_1,mark arc data department encoding x school_code y aggregate count distinct dept_address,"SCHOOL_CODE,distinct",none,count distinct DEPT_ADDRESS,arc,"x=SCHOOL_CODE,y=count distinct DEPT_ADDRESS,color=none,size=none",none
How do the locations of schools vary? Can you show me?,abstract,Pie,department,college_1,mark arc data department encoding x school_code y aggregate count distinct dept_address,"SCHOOL_CODE,distinct",none,count distinct DEPT_ADDRESS,arc,"x=SCHOOL_CODE,y=count distinct DEPT_ADDRESS,color=none,size=none",none
"Visualize the difference in pay by gender for those earning less than $50,000.",abstract,Bar,employee,company_1,mark bar data employee encoding x sex y aggregate count sex transform filter salary < 50000 group x ,"Sex,Salary",Salary < 50000,count Sex,bar,"x=Sex,y=count Sex,color=none,size=none",none
"Plot the number of employees by gender, who make money under $50,000, arranged by gender.",abstract,Bar,employee,company_1,mark bar data employee encoding x sex y aggregate count sex transform filter salary < 50000 group x ,"Sex,Salary",Salary < 50000,count Sex,bar,"x=Sex,y=count Sex,color=none,size=none",none
Show me the employee count in each city on a bar chart.,abstract,Bar,employee,employee_hire_evaluation,mark bar data employee encoding x city y aggregate count city transform group x ,City,none,count City,bar,"x=City,y=count City,color=none,size=none",none
Can you give me a visual representation of how many employees are from?,abstract,Bar,employee,employee_hire_evaluation,mark bar data employee encoding x city y aggregate count city transform group x ,City,none,count City,bar,"x=City,y=count City,color=none,size=none",none
I want to see a graph of employee distribution by city.,abstract,Bar,employee,employee_hire_evaluation,mark bar data employee encoding x city y aggregate count city transform group x ,City,none,count City,bar,"x=City,y=count City,color=none,size=none",none
Can you make a chart of employee counts by city?,abstract,Bar,employee,employee_hire_evaluation,mark bar data employee encoding x city y aggregate count city transform group x ,City,none,count City,bar,"x=City,y=count City,color=none,size=none",none
"Give me a graph of employee city distribution, arranged in order by city name.",abstract,Bar,employee,employee_hire_evaluation,mark bar data employee encoding x city y aggregate count city transform group x sort x desc,City,none,count City,bar,"x=City,y=count City,color=none,size=none",x desc
Show me the distribution of professors with a Ph.D. by department.,abstract,Bar,professor,college_1,mark bar data professor encoding x dept_code y aggregate count dept_code transform filter prof_high_degree = 'ph.d.' group x ,"DEPT_CODE,PROF_HIGH_DEGREE",PROF_HIGH_DEGREE = 'Ph.D.',count DEPT_CODE,bar,"x=DEPT_CODE,y=count DEPT_CODE,color=none,size=none",none
How many Ph.D.-holding professors are there in each department? (Graph it please),abstract,Bar,professor,college_1,mark bar data professor encoding x dept_code y aggregate count dept_code transform filter prof_high_degree = 'ph.d.' group x ,"DEPT_CODE,PROF_HIGH_DEGREE",PROF_HIGH_DEGREE = 'Ph.D.',count DEPT_CODE,bar,"x=DEPT_CODE,y=count DEPT_CODE,color=none,size=none",none
"Can you give me a visual representation of the number of Ph.D.-holding professors per department, ordered by the y-axis?",abstract,Bar,professor,college_1,mark bar data professor encoding x dept_code y aggregate count dept_code transform filter prof_high_degree = 'ph.d.' group x sort y asc,"DEPT_CODE,PROF_HIGH_DEGREE",PROF_HIGH_DEGREE = 'Ph.D.',count DEPT_CODE,bar,"x=DEPT_CODE,y=count DEPT_CODE,color=none,size=none",y asc
I want to see how many professors have a Ph.D. degree split up by department. Can you display it in a chart for me?,abstract,Bar,professor,college_1,mark bar data professor encoding x dept_code y aggregate count dept_code transform filter prof_high_degree = 'ph.d.' group x ,"DEPT_CODE,PROF_HIGH_DEGREE",PROF_HIGH_DEGREE = 'Ph.D.',count DEPT_CODE,bar,"x=DEPT_CODE,y=count DEPT_CODE,color=none,size=none",none
"Graph the number of professors with a PhD in each department, with the departments ordered by the number of PhD-holding professors.",abstract,Bar,professor,college_1,mark bar data professor encoding x dept_code y aggregate count dept_code transform filter prof_high_degree = 'ph.d.' group x sort y asc,"DEPT_CODE,PROF_HIGH_DEGREE",PROF_HIGH_DEGREE = 'Ph.D.',count DEPT_CODE,bar,"x=DEPT_CODE,y=count DEPT_CODE,color=none,size=none",y asc
